,"name","place","region","id"
1,"Роман Станиславович Адамов","Ростовская область","Rostov",1
2,"Игорь Владимирович Акинфеев","Московская область","Moskva",2
3,"Дмитрий Анатольевич Аленичев","Псковская область","Pskov",5
4,"Дмитрий Васильевич Ананко","Ростовская область","Rostov",6
5,"Александр Геннадьевич Анюков","Самарская область","Samara",7
6,"Алексей Саярович Арифуллин","Москва","Moscow City",8
7,"Андрей Сергеевич Аршавин","Ленинградская область","Leningrad",9
8,"Андрей Игоревич Афанасьев","Москва","Moscow City",10
9,"Никита Александрович Баженов","Московская область","Moskva",12
10,"Дмитрий Николаевич Баринов","Московская область","Moskva",13
11,"Алексей Александрович Бахарев","Волгоградская область","Volgograd",14
12,"Алексей Владимирович Березуцкий","Москва","Moscow City",16
13,"Василий Владимирович Березуцкий","Москва","Moscow City",17
14,"Владимир Евгеньевич Бесчастных","Москва","Moscow City",18
15,"Динияр Ринатович Билялетдинов","Москва","Moscow City",19
16,"Антон Анатольевич Бобёр","Татарстан","Tatarstan",20
17,"Максим Эдуардович Боков","Ленинградская область","Leningrad",21
18,"Альберт Валентинович Борзенков","Курская область","Kursk",22
19,"Александр Генрихович Бородюк","Воронежская область","Voronezh",23
20,"Денис Константинович Бояринцев","Москва","Moscow City",24
21,"Алексей Иванович Бугаев","Москва","Moscow City",25
22,"Максим Евгеньевич Бузникин","Краснодарский край","Krasnodar",27
23,"Виктор Геннадьевич Булатов","Челябинская область","Chelyabinsk",28
24,"Дмитрий Олегович Булыкин","Москва","Moscow City",29
25,"Тарас Александрович Бурлак","Приморский край","Primor'ye",30
26,"Владимир Владимирович Бут","Краснодарский край","Krasnodar",31
27,"Александр Евгеньевич Бухаров","Татарстан","Tatarstan",32
28,"Евгений Александрович Бушманов","Тюменская область","Tyumen'",33
29,"Владимир Сергеевич Быстров","Ленинградская область","Leningrad",34
30,"Пётр Александрович Быстров","Нижегородская область","Nizhegorod",35
31,"Евгений Владимирович Варламов","Татарстан","Tatarstan",36
32,"Дмитрий Владимирович Васильев","Ленинградская область","Leningrad",37
33,"Виктор Владимирович Васин","Ленинградская область","Leningrad",38
34,"Олег Александрович Веретенников","Свердловская область","Sverdlovsk",39
35,"Роман Константинович Воробьёв","Ленинградская область","Leningrad",40
36,"Владимир Борисович Габулов","Северная Осетия","North Ossetia",41
37,"Юрий Александрович Газинский","Хабаровский край","Khabarovsk",42
38,"Дмитрий Александрович Галямин","Москва","Moscow City",43
39,"Алексей Петрович Герасименко","Ростовская область","Rostov",44
40,"Денис Борисович Глушаков","Ростовская область","Rostov",45
41,"Александр Сергеевич Головин","Кемеровская область","Kemerovo",46
42,"Владимир Васильевич Гранат","Бурятия","Buryat",49
43,"Максим Сергеевич Григорьев","Липецкая область","Lipetsk",50
44,"Сергей Сергеевич Гришин","Москва","Moscow City",51
45,"Денис Алексеевич Давыдов","Москва","Moscow City",54
46,"Вячеслав Евгеньевич Даев","Тульская область","Tula",55
47,"Максим Владимирович Деменко","Краснодарский край","Krasnodar",56
48,"Игорь Владимирович Денисов","Ленинградская область","Leningrad",57
49,"Сослан Тотразович Джанаев","Северная Осетия","North Ossetia",58
50,"Георгий Тамазович Джикия","Москва","Moscow City",59
51,"Алан Елизбарович Дзагоев","Северная Осетия","North Ossetia",60
52,"Артём Сергеевич Дзюба","Москва","Moscow City",61
53,"Юрий Алексеевич Дроздов","Ставропольский край","Stavropol'",63
54,"Вадим Валентинович Евсеев","Московская область","Moskva",64
55,"Денис Сергеевич Евсиков","Владимирская область","Vladimir",65
56,"Артём Валерьевич Енин","Ярославская область","Yaroslavl'",66
57,"Александр Юрьевич Ерохин","Алтайский край","Altay",67
58,"Валерий Вячеславович Есипов","Курская область","Kursk",68
59,"Дмитрий Владиславович Ефремов","Ульяновская область","Ul'yanovsk",69
60,"Андрей Олегович Ещенко","Иркутская область","Irkutsk",70
61,"Юрий Валентинович Жирков","Тамбовская область","Tambov",71
62,"Роман Сергеевич Зобнин","Иркутская область","Irkutsk",73
63,"Денис Иванович Зубко","Карелия","Karelia",74
64,"Константин Георгиевич Зырянов","Пермский край","Perm'",75
65,"Андрей Евгеньевич Иванов","Москва","Moscow City",76
66,"Олег Александрович Иванов","Москва","Moscow City",77
67,"Владислав Вячеславович Игнатьев","Татарстан","Tatarstan",78
68,"Сергей Николаевич Игнашевич","Москва","Moscow City",79
69,"Алексей Андреевич Игонин","Ленинградская область","Leningrad",80
70,"Марат Наилевич Измайлов","Москва","Moscow City",81
71,"Алексей Сергеевич Ионов","Ленинградская область","Leningrad",82
72,"Руслан Александрович Камболов","Северная Осетия","North Ossetia",83
73,"Анатолий Анатольевич Канищев","Воронежская область","Voronezh",84
74,"Любомир Данилович Кантонистов","Москва","Moscow City",85
75,"Максим Сергеевич Канунников","Свердловская область","Sverdlovsk",86
76,"Александр Анатольевич Кержаков","Ленинградская область","Leningrad",90
77,"Дмитрий Сергеевич Кириченко","Ставропольский край","Stavropol'",92
78,"Сергей Вячеславович Кирьяков","Орловская область","Orel",93
79,"Андрей Николаевич Кобелев","Москва","Moscow City",94
80,"Юрий Михайлович Ковтун","Ростовская область","Rostov",95
81,"Алексей Анатольевич Козлов","Карелия","Karelia",96
82,"Александр Александрович Кокорин","Белгородская область","Belgorod",97
83,"Колодин Денис Алексеевич","Волгоградская область","Volgograd",98
84,"Сергей Викторович Колотовкин","Челябинская область","Chelyabinsk",99
85,"Игорь Владимирович Колыванов","Москва","Moscow City",100
86,"Дмитрий Владимирович Комбаров","Москва","Moscow City",101
87,"Андрей Юрьевич Кондрашов","Ленинградская область","Leningrad",102
88,"Сергей Геннадьевич Кормильцев","Алтайский край","Altay",103
89,"Олег Дмитриевич Корнаухов","Москва","Moscow City",104
90,"Игорь Владимирович Корнеев","Москва","Moscow City",105
91,"Алексей Викторович Косолапов","Московская область","Moskva",106
92,"Станислав Васильевич Крицюк","Самарская область","Samara",107
93,"Кудряшов Фёдор Васильевич","Иркутская область","Irkutsk",108
94,"Дмитрий Викторович Кузнецов","Москва","Moscow City",109
95,"Олег Александрович Кузьмин","Москва","Moscow City",110
96,"Далер Адьямович Кузяев","Татарстан","Tatarstan",111
97,"Василий Сергеевич Кульков","Москва","Moscow City",112
98,"Алан Таймуразович Кусов","Северная Осетия","North Ossetia",113
99,"Илья Олегович Кутепов","Ставропольский край","Stavropol'",114
100,"Денис Владимирович Лактионов","Новосибирская область","Novosibirsk",115
101,"Игорь Анатольевич Ледяхов","Краснодарский край","Krasnodar",117
102,"Арсений Максимович Логашов","Курская область","Kursk",119
103,"Юрий Владимирович Лодыгин","Владимирская область","Vladimir",120
104,"Дмитрий Вячеславович Лоськов","Курганская область","Kurgan",121
105,"Андрей Евгеньевич Лунев","Москва","Moscow City",122
106,"Евгений Владимирович Макеев","Вологодская область","Vologda",123
107,"Илья Владимирович Максимов","Нижегородская область","Nizhegorod",124
108,"Вячеслав Александрович Малафеев","Ленинградская область","Leningrad",125
109,"Павел Константинович Мамаев","Московская область","Moskva",126
110,"Рамиз Михманович Мамедов","Москва","Moscow City",127
111,"Вениамин Анатольевич Мандрыкин","Оренбургская область","Orenburg",129
112,"Юрий Александрович Матвеев","Свердловская область","Sverdlovsk",130
113,"Валерий Викентьевич Минько","Алтайский край","Altay",131
114,"Алексей Андреевич Миранчук","Краснодарский край","Krasnodar",132
115,"Антон Андреевич Миранчук","Краснодарский край","Krasnodar",133
116,"Павел Сергеевич Могилевец","Ленинградская область","Leningrad",134
117,"Александр Владимирович Мостовой","Ленинградская область","Leningrad",135
118,"Андрей Владимирович Мох","Томская область","Tomsk",136
119,"Кирилл Анатольевич Набабкин","Москва","Moscow City",138
120,"Эльмир Рамилевич Набиуллин","Татарстан","Tatarstan",139
121,"Сергей Владимирович Некрасов","Москва","Moscow City",140
122,"Руслан Каримович Нигматуллин","Татарстан","Tatarstan",141
123,"Андрей Николаевич Новосадов","Москва","Moscow City",145
124,"Иван Евгеньевич Новосельцев","Москва","Moscow City",146
125,"Сергей Иванович Овчинников","Москва","Moscow City",148
126,"Магомед Мустафаевич Оздоев","Чечня","Chechnya",149
127,"Николай Владимирович Олеников","Ставропольский край","Stavropol'",150
128,"Роман Анатольевич Павлюченко","Краснодарский край","Krasnodar",152
129,"Артур Сардионович Пагаев","Северная Осетия","North Ossetia",153
130,"Александр Владимирович Панов","Ленинградская область","Leningrad",154
131,"Кирилл Викторович Панченко","Липецкая область","Lipetsk",155
132,"Сергей Викторович Паршивлюк","Москва","Moscow City",156
133,"Сергей Андреевич Петров","Ленинградская область","Leningrad",157
134,"Руслан Валерьевич Пименов","Москва","Moscow City",158
135,"Николай Николаевич Писарев","Москва","Moscow City",159
136,"Павел Викторович Погребняк","Москва","Moscow City",160
137,"Александр Викторович Подшивалов","Свердловская область","Sverdlovsk",162
138,"Дмитрий Дмитриевич Полоз","Ставропольский край","Stavropol'",163
139,"Денис Александрович Попов","Краснодарский край","Krasnodar",164
140,"Дмитрий Львович Попов","Ярославская область","Yaroslavl'",165
141,"Игорь Игоревич Портнягин","Приморский край","Primor'ye",166
142,"Владислав Николаевич Радимов","Ленинградская область","Leningrad",168
143,"Дмитрий Леонидович Радченко","Ленинградская область","Leningrad",169
144,"Константин Викторович Рауш","Томская область","Tomsk",170
145,"Алексей Васильевич Ребко","Москва","Moscow City",172
146,"Артём Геннадьевич Ребров","Москва","Moscow City",173
147,"Сергей Викторович Рыжиков","Белгородская область","Belgorod",174
148,"Рязанцев Александр Александрович","Москва","Moscow City",175
149,"Иван Иванович Саенко","Воронежская область","Voronezh",176
150,"Олег Анатольевич Саленко","Ленинградская область","Leningrad",177
151,"Александр Сергеевич Самедов","Москва","Moscow City",178
152,"Андрей Сергеевич Семёнов","Москва","Moscow City",180
153,"Игорь Петрович Семшов","Москва","Moscow City",181
154,"Дмитрий Александрович Сенников","Ленинградская область","Leningrad",182
155,"Олег Вячеславович Сергеев","Волгоградская область","Volgograd",183
156,"Игорь Витальевич Симутенков","Москва","Moscow City",184
157,"Игорь Евгеньевич Скляров","Ростовская область","Rostov",185
158,"Алексей Геннадьевич Смертин","Алтайский край","Altay",186
159,"Фёдор Михайлович Смолов","Саратовская область","Saratov",187
160,"Игорь Александрович Смольников","Свердловская область","Sverdlovsk",188
161,"Андрей Юрьевич Соломатин","Москва","Moscow City",189
162,"Егор Андреевич Сорокин","Ленинградская область","Leningrad",190
163,"Дмитрий Валерьевич Стоцкий","Калининградская область","Kaliningrad",191
164,"Дмитрий Евгеньевич Сычёв","Омская область","Omsk",192
165,"Дмитрий Алексеевич Тарасов","Москва","Moscow City",193
166,"Владимир Иосифович Татарчук","Магаданская область","Maga Buryatdan",194
167,"Олег Иванович Терёхин","Саратовская область","Saratov",196
168,"Егор Ильич Титов","Москва","Moscow City",199
169,"Андрей Валерьевич Тихонов","Московская область","Moskva",200
170,"Дмитрий Евгеньевич Торбинский","Красноярский край","Krasnoyarsk",201
171,"Александр Васильевич Точилин","Москва","Moscow City",202
172,"Виктор Игоревич Файзулин","Приморский край","Primor'ye",203
173,"Ильшат Галимзянович Файзуллин","Кемеровская область","Kemerovo",204
174,"Андрей Юрьевич Федьков","Ростовская область","Rostov",205
175,"Александр Владимирович Филимонов","Марий Эл","Mariy-El",207
176,"Сергей Александрович Филиппенков","Смоленская область","Smolensk",208
177,"Заур Залимбиевич Хапов","Кабардино-Балкария","Kabardin-Balkar",209
178,"Дмитрий Викторович Харин","Москва","Moscow City",210
179,"Евгений Валерьевич Харлачёв","Самарская область","Samara",211
180,"Дмитрий Алексеевич Хлестов","Москва","Moscow City",212
181,"Дмитрий Валерьевич Хохлов","Краснодарский край","Krasnodar",213
182,"Фёдор Николаевич Чалов","Москва","Moscow City",216
183,"Никита Александрович Чернов","Волгоградская область","Volgograd",217
184,"Андрей Алексеевич Чернышов","Москва","Moscow City",218
185,"Станислав Саламович Черчесов","Северная Осетия","North Ossetia",219
186,"Денис Дмитриевич Черышев","Нижегородская область","Nizhegorod",220
187,"Дмитрий Николаевич Черышев","Нижегородская область","Nizhegorod",221
188,"Валерий Николаевич Чижов","Москва","Moscow City",222
189,"Андрей Григорьевич Чичкин","Краснодарский край","Krasnodar",223
190,"Игорь Валерьевич Чугайнов","Москва","Moscow City",224
191,"Игорь Михайлович Шалимов","Москва","Moscow City",225
192,"Роман Сергеевич Шаронов","Москва","Moscow City",226
193,"Олег Александрович Шатов","Свердловская область","Sverdlovsk",227
194,"Александр Петрович Ширко","Москва","Moscow City",230
195,"Роман Николаевич Широков","Московская область","Moskva",231
196,"Роман Александрович Шишкин","Воронежская область","Voronezh",232
197,"Александр Николаевич Шмарко","Адыгея","Adygey",233
198,"Антон Владимирович Шунин","Москва","Moscow City",234
199,"Георгий Михайлович Щенников","Москва","Moscow City",235
200,"Артур Римович Юсупов","Самарская область","Samara",237
201,"Ренат Рудольфович Янбаев","Московская область","Moskva",238
202,"Игорь Сергеевич Яновский","Северная Осетия","North Ossetia",239
